content_hash_id,cluster,cluster_name,value_proxy,growth_probability,ever_optimized,reason_code,priority_score
content_deb024777e19148b,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_36894737e6dd034d,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_2645a972dbf56baf,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_940a8782a31b6f18,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_7e23dea0dae4b4cf,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_268835d09361fcbb,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_b60788d1e0043b2e,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_30f626fbbbb4764c,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_bb57c1357cdd3434,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_7be028823135beeb,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_aaccabe20bbbe7bb,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_7877421d1701b63d,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_092ff5d5aaa66a26,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_f7321ac169e17809,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_74b99299d7e70e8b,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_ddfd0070e2d57fa1,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_e092b402b4fbfecc,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_749023efcc3dd8ee,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_8097c853545c6e67,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_4bc7d1d2bc873f43,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_ead7b826bbc8fa86,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_cd09a72043955bfd,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_17a2871655bc162b,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_547ce87097b4a571,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_2eb39eaa16fc40a9,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_3fb35e975cc91142,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_53b6548a82e2f994,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_6c24ba365c65691c,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_3ae128e13038d03d,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_3ee29e12089cd119,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
content_bebe6a2ad40c12f0,2,Fresh & Well-Linked,0.0,0.45705097863772587,0,never optimized,0.44058451693460277
